Country,Emissions,Pollutant,Year,EEA sector aggregations,NFR classification
United Kingdom,326.2085987,NH3,1990,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,325.1189823,NH3,1991,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,309.9267161,NH3,1992,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,304.0213468,NH3,1993,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,309.2076977,NH3,1994,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,302.0879791,NH3,1995,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,311.2187686,NH3,1996,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,317.122284,NH3,1997,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,318.3373166,NH3,1998,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,313.0476913,NH3,1999,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,306.0690574,NH3,2000,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,298.2183033,NH3,2001,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,294.1557438,NH3,2002,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,287.1325156,NH3,2003,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,293.5550167,NH3,2004,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,284.5432497,NH3,2005,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,277.7471819,NH3,2006,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,273.6007501,NH3,2007,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,258.9340705,NH3,2008,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,260.0983905,NH3,2009,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,264.0978508,NH3,2010,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,265.6224189,NH3,2011,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,262.0947855,NH3,2012,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,258.2841633,NH3,2013,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,270.6436084,NH3,2014,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,275.6816053,NH3,2015,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,281.3083713,NH3,2016,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
United Kingdom,283.1472076,NH3,2017,National total for the entire territory (based on fuel sold),National total for the entire territory (based on fuel sold)
